FIPS10, County Name , City or Township Name ," Total Population, 2018 "," Population in Households, 2018 "," Population in Group Quarters, 2018 "," Households, 2018 "," Persons per Household, 2018 "
2701366910,Blue Earth,Vernon Center city, 303 , 303 , -   , 122 ,2.48
2701366928,Blue Earth,Vernon Center township, 236 , 236 , -   , 94 ,2.51
2701500748,Brown,Albin township, 329 , 329 , -   , 126 ,2.61
2701503826,Brown,Bashaw township, 227 , 227 , -   , 91 ,2.49
2701508776,Brown,Burnstown township, 243 , 243 , -   , 93 ,2.61
2701512394,Brown,Cobden city, 30 , 30 , -   , 15 ,2.00
2701512772,Brown,Comfrey city (part), 339 , 339 , -   , 153 ,2.22
2701513546,Brown,Cottonwood township, 803 , 796 , 7 , 335 ,2.38
2701518026,Brown,Eden township, 224 , 224 , -   , 98 ,2.29
2701519880,Brown,Evan city, 79 , 79 , -   , 31 ,2.55
2701527008,Brown,Hanska city, 369 , 369 , -   , 165 ,2.24
2701529960,Brown,Home township, 494 , 494 , -   , 197 ,2.51
2701534442,Brown,Lake Hanska township, 322 , 322 , -   , 132 ,2.44
2701536116,Brown,Leavenworth township, 267 , 267 , -   , 115 ,2.32
2701537214,Brown,Linden township, 276 , 276 , -   , 108 ,2.56
2701542182,Brown,Milford township, 663 , 663 , -   , 269 ,2.46
2701544746,Brown,Mulligan township, 210 , 208 , 2 , 86 ,2.42
2701546042,Brown,New Ulm city," 13,645 "," 12,744 ", 901 ," 5,984 ",2.13
2701547248,Brown,North Star township, 259 , 259 , -   , 99 ,2.62
2701552342,Brown,Prairieville township, 227 , 227 , -   , 99 ,2.29
2701560160,Brown,Sigel township, 319 , 319 , -   , 145 ,2.20
2701560844,Brown,Sleepy Eye city," 3,464 "," 3,352 ", 112 ," 1,476 ",2.27
2701561816,Brown,Springfield city," 2,051 "," 1,945 ", 106 , 908 ,2.14
2701562518,Brown,Stark township, 329 , 329 , -   , 136 ,2.42
2701562590,Brown,Stately township, 156 , 156 , -   , 62 ,2.52
2701702656,Carlton,Atkinson township, 421 , 417 , 4 , 166 ,2.51
2701703016,Carlton,Automba township, 147 , 147 , -   , 61 ,2.41
2701703628,Carlton,Barnum city, 605 , 599 , 6 , 233 ,2.57
2701703646,Carlton,Barnum township," 1,074 "," 1,074 ", -   , 428 ,2.51
2701705518,Carlton,Beseman township, 135 , 135 , -   , 57 ,2.37
2701706328,Carlton,Blackhoof township, 905 , 905 , -   , 334 ,2.71
2701710018,Carlton,Carlton city, 979 , 845 , 134 , 412 ,2.05
2701712160,Carlton,Cloquet city," 12,347 "," 12,157 ", 190 ," 5,028 ",2.42
2701713780,Carlton,Cromwell city, 240 , 240 , -   , 135 ,1.78
2701717332,Carlton,Eagle township, 562 , 562 , -   , 240 ,2.34
2701729942,Carlton,Holyoke township, 181 , 181 , -   , 84 ,2.15
2701732264,Carlton,Kalevala township, 321 , 321 , -   , 133 ,2.41
2701732966,Carlton,Kettle River city, 173 , 173 , -   , 76 ,2.28
2701735162,Carlton,Lakeview township, 184 , 184 , -   , 80 ,2.30
2701739464,Carlton,Mahtowa township, 624 , 621 , 3 , 241 ,2.58
2701743954,Carlton,Moose Lake city," 2,794 "," 1,292 "," 1,502 ", 652 ,1.98
2701743972,Carlton,Moose Lake township," 1,054 ", 972 , 82 , 395 ,2.46
2701750446,Carlton,Perch Lake township," 1,037 "," 1,021 ", 16 , 411 ,2.48
2701758936,Carlton,Scanlon city, 992 , 979 , 13 , 429 ,2.28
2701760232,Carlton,Silver township, 470 , 470 , -   , 179 ,2.63
2701760268,Carlton,Silver Brook township, 647 , 646 , 1 , 245 ,2.64
2701760664,Carlton,Skelton township, 437 , 429 , 8 , 169 ,2.54
2701761708,Carlton,Split Rock township, 179 , 179 , -   , 76 ,2.36
2701764768,Carlton,Thomson township," 5,173 "," 5,170 ", 3 ," 1,903 ",2.72
2701765902,Carlton,Twin Lakes township," 2,147 "," 2,110 ", 37 , 811 ,2.60
2701771788,Carlton,Wrenshall city, 418 , 408 , 10 , 163 ,2.50
2701771806,Carlton,Wrenshall township, 387 , 387 , -   , 153 ,2.53
2701771824,Carlton,Wright city, 126 , 126 , -   , 51 ,2.47
2701799909,Carlton,Carlton Co. Unorganized," 1,164 "," 1,164 ", -   , 435 ,2.68
2701905266,Carver,Benton township, 797 , 797 , -   , 295 ,2.70
2701909406,Carver,Camden township, 965 , 961 , 4 , 345 ,2.79
2701910144,Carver,Carver city," 4,727 "," 4,727 ", -   ," 1,540 ",3.07
2701910918,Carver,Chanhassen city (part)," 26,266 "," 26,247 ", 19 ," 9,456 ",2.78
2701910972,Carver,Chaska city," 27,622 "," 27,385 ", 237 ," 10,136 ",2.70
2701912664,Carver,Cologne city," 1,841 "," 1,841 ", -   , 644 ,2.86
2701914482,Carver,Dahlgren township," 1,337 "," 1,337 ", -   , 494 ,2.71
2701926666,Carver,Hamburg city, 513 , 513 , -   , 205 ,2.50
2701926918,Carver,Hancock township, 337 , 337 , -   , 125 ,2.70
2701929726,Carver,Hollywood township," 1,031 "," 1,031 ", -   , 387 ,2.66
2701935108,Carver,Laketown township," 2,154 "," 1,773 ", 381 , 641 ,2.77
2701941138,Carver,Mayer city," 2,295 "," 2,287 ", 8 , 739 ,3.09
2701945556,Carver,New Germany city, 455 , 455 , -   , 181 ,2.51
2701947520,Carver,Norwood Young America city," 3,833 "," 3,823 ", 10 ," 1,513 ",2.53
2701958486,Carver,San Francisco township, 868 , 868 , -   , 310 ,2.80
2701967036,Carver,Victoria city," 9,918 "," 9,862 ", 56 ," 3,220 ",3.06
2701967432,Carver,Waconia city," 13,124 "," 12,999 ", 125 ," 4,703 ",2.76
2701967450,Carver,Waconia township," 1,204 "," 1,204 ", -   , 429 ,2.81
2701968548,Carver,Watertown city," 4,654 "," 4,588 ", 66 ," 1,677 ",2.74
2701968566,Carver,Watertown township," 1,318 "," 1,318 ", -   , 491 ,2.68
2701972130,Carver,Young America township, 711 , 711 , -   , 261 ,2.72
2702101738,Cass,Ansel township, 99 , 99 , -   , 36 ,2.75
2702103124,Cass,Backus city, 250 , 250 , -   , 116 ,2.16
2702103538,Cass,Barclay township, 573 , 573 , -   , 256 ,2.24
2702104600,Cass,Becker township, 532 , 532 , -   , 219 ,2.43
2702105104,Cass,Bena city, 122 , 122 , -   , 45 ,2.71
2702105572,Cass,Beulah township, 71 , 71 , -   , 42 ,1.69
2702106040,Cass,Birch Lake township, 538 , 538 , -   , 259 ,2.08
2702106454,Cass,Blind Lake township, 92 , 92 , -   , 35 ,2.63
2702107156,Cass,Boy Lake township, 274 , 274 , -   , 99 ,2.77
2702107174,Cass,Boy River city, 51 , 51 , -   , 23 ,2.22
2702107192,Cass,Boy River township, 91 , 91 , -   , 35 ,2.60
2702108560,Cass,Bull Moose township, 133 , 133 , -   , 45 ,2.96
2702108596,Cass,Bungo township, 192 , 192 , -   , 68 ,2.82
2702109136,Cass,Byron township, 140 , 140 , -   , 56 ,2.50
2702110252,Cass,Cass Lake city, 760 , 760 , -   , 305 ,2.49
2702111296,Cass,Chickamaw Beach city, 113 , 113 , -   , 59 ,1.92
2702113834,Cass,Crooked Lake township, 559 , 559 , -   , 287 ,1.95
2702115220,Cass,Deerfield township, 127 , 127 , -   , 54 ,2.35
2702117630,Cass,East Gull Lake city," 1,034 "," 1,030 ", 4 , 427 ,2.41
2702120366,Cass,Fairview township, 876 , 876 , -   , 347 ,2.52
2702120798,Cass,Federal Dam city, 112 , 112 , -   , 51 ,2.20
2702124686,Cass,Gould township, 222 , 222 , -   , 88 ,2.52
2702126378,Cass,Hackensack city, 322 , 314 , 8 , 150 ,2.09
2702129366,Cass,Hiram township, 329 , 329 , -   , 156 ,2.11
2702129978,Cass,Home Brook township, 287 , 287 , -   , 111 ,2.59
2702130986,Cass,Inguadona township, 183 , 183 , -   , 98 ,1.87
2702132588,Cass,Kego township, 548 , 548 , -   , 246 ,2.23
2702134928,Cass,Lake Shore city," 1,067 "," 1,067 ", -   , 487 ,2.19
2702136224,Cass,Leech Lake township, 448 , 448 , -   , 187 ,2.40
2702137034,Cass,Lima township, 107 , 96 , 11 , 45 ,2.13
2702138114,Cass,Longville city, 161 , 161 , -   , 97 ,1.66
2702138168,Cass,Loon Lake township, 583 , 583 , -   , 221 ,2.64
2702139104,Cass,McKinley township, 134 , 134 , -   , 60 ,2.23
2702140076,Cass,Maple township, 395 , 395 , -   , 155 ,2.55
2702141102,Cass,May township, 883 , 883 , -   , 346 ,2.55
2702141354,Cass,Meadow Brook township, 255 , 255 , -   , 107 ,2.38
