FIPS10,County Name,City Name,"Total Population, 2018","Population in Households, 2018","Population in Group Quarters, 2018","Households, 2018","Persons per Household, 2018"
2708303250,Lyon,Balaton,630,616,14,269,2.29
2708313564,Lyon,Cottonwood,1237,1229,8,521,2.36
2708321410,Lyon,Florence,39,39, -   ,14,2.79
2708323228,Lyon,Garvin,135,135, -   ,54,2.5
2708323660,Lyon,Ghent,363,363, -   ,152,2.39
2708338708,Lyon,Lynd,464,464, -   ,169,2.75
2708340688,Lyon,Marshall,13783,13039,744,5572,2.34
2708343126,Lyon,Minneota,1382,1321,61,582,2.27
2708356428,Lyon,Russell,329,329, -   ,156,2.11
2708364264,Lyon,Taunton,127,127, -   ,64,1.98
2708365308,Lyon,Tracy,2123,2057,66,866,2.38
2708506112,McLeod,Biscay,103,103, -   ,40,2.58
2708508254,McLeod,Brownton,717,717, -   ,304,2.36
2708523948,McLeod,Glencoe,5520,5378,142,2230,2.41
2708530644,McLeod,Hutchinson,14260,13995,265,6165,2.27
2708536728,McLeod,Lester Prairie,1705,1705, -   ,655,2.6
2708551460,McLeod,Plato,302,302, -   ,135,2.24
2708560376,McLeod,Silver Lake,802,802, -   ,345,2.32
2708562788,McLeod,Stewart,544,544, -   ,229,2.38
2708571086,McLeod,Winsted,2289,2218,71,944,2.35
2708704672,Mahnomen,Bejou,93,93, -   ,38,2.45
2708739392,Mahnomen,Mahnomen,1228,1180,48,517,2.28
2708768674,Mahnomen,Waubun,407,407, -   ,156,2.61
2708901252,Marshall,Alvarado,366,366, -   ,139,2.63
2708902134,Marshall,Argyle,650,646,4,268,2.41
2708926216,Marshall,Grygla,229,229, -   ,113,2.03
2708929870,Marshall,Holt,94,94, -   ,38,2.47
2708941912,Marshall,Middle River,309,309, -   ,151,2.05
2708945520,Marshall,Newfolden,379,379, -   ,160,2.37
2708948976,Marshall,Oslo,302,302, -   ,123,2.46
2708962698,Marshall,Stephen,668,668, -   ,313,2.13
2708963112,Marshall,Strandquist,77,77, -   ,36,2.14
2708967090,Marshall,Viking,99,99, -   ,42,2.36
2708968170,Marshall,Warren,1596,1529,67,701,2.18
2709110792,Martin,Ceylon,338,338, -   ,143,2.36
2709117180,Martin,Dunnell,163,163, -   ,80,2.04
2709120330,Martin,Fairmont,10307,10083,224,4802,2.1
2709124884,Martin,Granada,272,272, -   ,119,2.29
2709147212,Martin,Northrop,208,208, -   ,101,2.06
2709159620,Martin,Sherburn,1053,1031,22,480,2.15
2709165470,Martin,Trimont,709,665,44,303,2.19
2709165668,Martin,Truman,1058,1013,45,468,2.16
2709169070,Martin,Welcome,647,647, -   ,303,2.14
2709310468,Meeker,Cedar Mills,43,43, -   ,22,1.95
2709313420,Meeker,Cosmos,453,453, -   ,224,2.02
2709314842,Meeker,Darwin,355,355, -   ,142,2.5
2709314878,Meeker,Dassel,1470,1409,61,581,2.43
2709326126,Meeker,Grove City,620,620, -   ,265,2.34
2709333344,Meeker,Kingston,155,155, -   ,60,2.58
2709337448,Meeker,Litchfield,6763,6539,224,2821,2.32
2709368620,Meeker,Watkins,956,907,49,403,2.25
2709506814,Mille Lacs,Bock,108,108, -   ,47,2.3
2709521824,Mille Lacs,Foreston,528,528, -   ,203,2.6
2709531472,Mille Lacs,Isle,779,779, -   ,367,2.12
2709542110,Mille Lacs,Milaca,2895,2741,154,1320,2.08
2709548310,Mille Lacs,Onamia,860,710,150,347,2.05
2709550056,Mille Lacs,Pease,234,234, -   ,84,2.79
2709567558,Mille Lacs,Wahkon,221,221, -   ,110,2.01
2709707066,Morrison,Bowlus,287,287, -   ,113,2.54
2709708416,Morrison,Buckman,299,299, -   ,106,2.82
2709718872,Morrison,Elmdale,106,106, -   ,41,2.59
2709721266,Morrison,Flensburg,226,223,3,86,2.59
2709723444,Morrison,Genola,75,75, -   ,33,2.27
2709727098,Morrison,Harding,119,92,27,42,2.19
2709729150,Morrison,Hillman,40,40, -   ,16,2.5
2709735720,Morrison,Lastrup,99,99, -   ,47,2.11
2709737556,Morrison,Little Falls,8934,8548,386,3920,2.18
2709750776,Morrison,Pierz,1388,1301,87,594,2.19
2709753080,Morrison,Randall,629,625,4,260,2.4
2709761006,Morrison,Sobieski,189,189, -   ,86,2.2
2709766334,Morrison,Upsala,429,429, -   ,191,2.25
2709900190,Mower,Adams,798,711,87,303,2.35
2709902908,Mower,Austin,25589,25036,553,10322,2.43
2709908164,Mower,Brownsdale,683,683, -   ,287,2.38
2709915886,Mower,Dexter,341,341, -   ,143,2.38
2709918728,Mower,Elkton,141,141, -   ,57,2.47
2709925010,Mower,Grand Meadow,1211,1175,36,476,2.47
2709936620,Mower,Le Roy,955,955, -   ,435,2.2
2709938654,Mower,Lyle,546,546, -   ,216,2.53
2709940346,Mower,Mapleview,179,179, -   ,83,2.16
2709952882,Mower,Racine,446,446, -   ,158,2.82
2709955600,Mower,Rose Creek,398,398, -   ,162,2.46
